condition,family,dose,mode,latency_ms,qualified,R_model,zero_products,model_products,speedup_over_native
c27,A7+OL1@7,0.01,fusion_dense,2.5664379354566336,True,0.07723392871636932,491443806958,6363055915008,1.439422360117047
c27,A7+OL1@7,0.01,sparse,2.0555760711431503,False,0.07723392871636932,491443806958,6363055915008,1.8000995095645733
c27,A7+OL1@7,0.01,no_skip,2.5438680313527584,False,0.07723392871636932,491443806958,6363055915008,1.4569685260594643
c28,A7+OL1@7,0.05,native,3.7370750214904547,True,0.09863031588136074,627590214868,6363055915008,1.0
c28,A7+OL1@7,0.05,fusion_dense,2.5997889460995793,True,0.09863031588136074,627590214868,6363055915008,1.441341254756365
c28,A7+OL1@7,0.05,sparse,2.0650719525292516,False,0.09863031588136074,627590214868,6363055915008,1.8093142739527286
c28,A7+OL1@7,0.05,no_skip,2.54532799590379,False,0.09863031588136074,627590214868,6363055915008,1.4679543517364062
c29,A7+OL1@7,0.1,native,3.7313300417736173,True,0.11796760377518327,750634458981,6363055915008,1.0
c29,A7+OL1@7,0.1,fusion_dense,2.5929074035957456,True,0.11796760377518327,750634458981,6363055915008,1.437946598564162
c29,A7+OL1@7,0.1,sparse,2.0677115535363555,False,0.11796760377518327,750634458981,6363055915008,1.804119116170495
c29,A7+OL1@7,0.1,no_skip,2.5432929396629333,False,0.11796760377518327,750634458981,6363055915008,1.4637218037620896
c30,A7+OL1@7,0.5,native,3.6792008904740214,True,0.27482684296304843,1748738568719,6363055915008,1.0
c30,A7+OL1@7,0.5,fusion_dense,2.548477961681783,True,0.27482684296304843,1748738568719,6363055915008,1.4434166726972004
c30,A7+OL1@7,0.5,sparse,2.0338809117674828,True,0.27482684296304843,1748738568719,6363055915008,1.8076149195780298
c30,A7+OL1@7,0.5,no_skip,2.5438435841351748,True,0.27482684296304843,1748738568719,6363055915008,1.4619368593467055
c31,A4+OL1@h,0.0,native,3.1863085459917784,True,0.08409413096369549,535095657446,6363055915008,1.0
c31,A4+OL1@h,0.0,fusion_dense,2.558153006248176,True,0.08409413096369549,535095657446,6363055915008,1.2469238924213553
c31,A4+OL1@h,0.0,sparse,2.0466470159590244,False,0.08409413096369549,535095657446,6363055915008,1.56258708359245
c31,A4+OL1@h,0.0,no_skip,2.5447075022384524,False,0.08409413096369549,535095657446,6363055915008,1.261184073900594
c32,A4+OL1@h,0.01,native,3.2189484918490052,True,0.08585803145992206,546319454932,6363055915008,1.0
c32,A4+OL1@h,0.01,fusion_dense,2.581708016805351,True,0.08585803145992206,546319454932,6363055915008,1.2495856180562532
c32,A4+OL1@h,0.01,sparse,2.0654565887525678,False,0.08585803145992206,546319454932,6363055915008,1.560956888246819
c32,A4+OL1@h,0.01,no_skip,2.544702962040901,False,0.08585803145992206,546319454932,6363055915008,1.2700861466382147
c33,A4+OL1@h,0.05,native,3.2194434897974133,True,0.09035629014573529,574942126470,6363055915008,1.0
c33,A4+OL1@h,0.05,fusion_dense,2.588848117738962,True,0.09035629014573529,574942126470,6363055915008,1.2461411224058019
