source_checkpoint_id,scale,family,training_parameter,clipping_target_p,loss,delta_loss_from_p0,R_model,U_arch,nondominated_within_checkpoint
14M:A4-OL1:0.05,14M,A4-OL1,0.05,0.4,5.489813471686911,0.0,0.10456447211090765,0.8147995876923527,False
14M:A4-OL1:0.05,14M,A4-OL1,0.05,0.5,5.489736025150005,-7.744653690533454e-05,0.10457654017883378,0.8148936259117588,True
14M:A4-OL1:0.05,14M,A4-OL1,0.05,0.6,5.5285222713763895,0.03870879968947882,0.10620755059908198,0.8276029772919351,True
14M:A4-OL1:0.05,14M,A4-OL1,0.05,0.7,5.9246955778471815,0.4348821061602708,0.10831826074659497,0.8440503013515595,True
14M:A4-OL1:0.05,14M,A4-OL1,0.05,0.8,6.802904442922603,1.3130909712356926,0.1092235483481723,0.8511045899604651,True
14M:A4-OL1:0.05,14M,A4-OL1,0.05,0.9,7.925415943360187,2.4356024716732767,0.10933577031455731,0.8519790591763909,True
14M:A4-OL1:0.1,14M,A4-OL1,0.1,0.0,5.548308890246781,0.0,0.11394291208551928,0.8878793715830602,True
14M:A4-OL1:0.1,14M,A4-OL1,0.1,0.1,5.548308890246781,0.0,0.11394291208551928,0.8878793715830602,True
14M:A4-OL1:0.1,14M,A4-OL1,0.1,0.2,5.548308890246781,0.0,0.11394291208551928,0.8878793715830602,True
14M:A4-OL1:0.1,14M,A4-OL1,0.1,0.3,5.548308890246781,0.0,0.11394291208551928,0.8878793715830602,True
14M:A4-OL1:0.1,14M,A4-OL1,0.1,0.4,5.548308890246781,0.0,0.11394291208551928,0.8878793715830602,True
14M:A4-OL1:0.1,14M,A4-OL1,0.1,0.5,5.548308890246781,0.0,0.11394291208551928,0.8878793715830602,True
14M:A4-OL1:0.1,14M,A4-OL1,0.1,0.6,5.605809604627846,0.05750071438106552,0.11437945711311338,0.8912810691320665,True
14M:A4-OL1:0.1,14M,A4-OL1,0.1,0.7,6.020794285119638,0.4724853948728569,0.1158126377690449,0.9024488681365225,True
14M:A4-OL1:0.1,14M,A4-OL1,0.1,0.8,6.474282314791482,0.9259734245447016,0.11570704709940842,0.9016260720916793,False
14M:A4-OL1:0.1,14M,A4-OL1,0.1,0.9,7.2906065121204895,1.7422976218737087,0.11573646299414518,0.9018552900891431,False
14M:A4-OL1:0.5,14M,A4-OL1,0.5,0.0,6.037985859537971,0.0,0.1271345631932865,0.9906729081122697,True
14M:A4-OL1:0.5,14M,A4-OL1,0.5,0.1,6.037985859537971,0.0,0.1271345631932865,0.9906729081122697,True
14M:A4-OL1:0.5,14M,A4-OL1,0.5,0.2,6.037985859537971,0.0,0.1271345631932865,0.9906729081122697,True
14M:A4-OL1:0.5,14M,A4-OL1,0.5,0.3,6.037985859537971,0.0,0.1271345631932865,0.9906729081122697,True
14M:A4-OL1:0.5,14M,A4-OL1,0.5,0.4,6.037985859537971,0.0,0.1271345631932865,0.9906729081122697,True
14M:A4-OL1:0.5,14M,A4-OL1,0.5,0.5,6.037985859537971,0.0,0.1271345631932865,0.9906729081122697,True
14M:A4-OL1:0.5,14M,A4-OL1,0.5,0.6,6.037985859537971,0.0,0.1271345631932865,0.9906729081122697,True
14M:A4-OL1:0.5,14M,A4-OL1,0.5,0.7,6.037985859537971,0.0,0.1271345631932865,0.9906729081122697,True
14M:A4-OL1:0.5,14M,A4-OL1,0.5,0.8,6.037985859537971,0.0,0.1271345631932865,0.9906729081122697,True
14M:A4-OL1:0.5,14M,A4-OL1,0.5,0.9,6.077768207301755,0.039782347763783754,0.1273892707524606,0.9926576703360683,True
14M:A7:0.0,14M,A7,0.0,0.0,5.468387399199447,0.0,0.07217647332844829,0.240970769670348,False
14M:A7:0.0,14M,A7,0.0,0.1,5.468387399199447,0.0,0.07217647332844829,0.240970769670348,False
14M:A7:0.0,14M,A7,0.0,0.2,5.468387399199447,0.0,0.07217647332844829,0.240970769670348,False
14M:A7:0.0,14M,A7,0.0,0.3,5.468387399199447,0.0,0.07217647332844829,0.240970769670348,False
14M:A7:0.0,14M,A7,0.0,0.4,5.468296441100758,-9.095809868853166e-05,0.0722554032663128,0.24123428778089204,False
14M:A7:0.0,14M,A7,0.0,0.5,5.467938950781286,-0.0004484484181608295,0.07318744754632799,0.24434604175230115,True
14M:A7:0.0,14M,A7,0.0,0.6,5.530789410574196,0.062402011374749655,0.08079712189144792,0.26975195311540867,True
14M:A7:0.0,14M,A7,0.0,0.7,5.943677547415333,0.475290148215886,0.08953316599313331,0.2989183999363494,True
14M:A7:0.0,14M,A7,0.0,0.8,6.973735144857824,1.5053477456583773,0.10213539091903186,0.340992606390486,True
