condition_id,layer,operation,site,M,K,N,exact_zero_mass,maximum_row_nnz,dense_median_ms,pack_median_ms,kernel_median_ms,pack_kernel_median_ms,kernel_only_speedup,pack_kernel_speedup,sparse_vs_fp32_relative_l2
a4-ol1-kappa-0p5,5,attention_output_projection,z,2048,512,512,0.9995965957641602,1,0.010044826567173004,0.0047849021852016446,0.012631375342607498,0.01743416041135788,0.7946435360524217,0.5762106260169322,0.001314736648244126
a7-ol1-kappa-0,0,qkv_projection,a,2048,512,1536,0.5093498229980469,348,0.010183101059288107,0.005375660662155425,0.471006010702434,0.4757970544813354,0.021625891949733786,0.02144204387577821,0.002314544125183911
a7-ol1-kappa-0,0,mlp_w1,m,2048,512,2048,0.5244102478027344,336,0.014942185592281726,0.006562488716702128,0.30018555563549665,0.30221392133439234,0.04977649760878377,0.049442413262453785,0.0023756586869898067
a7-ol1-kappa-0,0,mlp_w2,h,2048,2048,512,0.7659626007080078,741,0.01097590003206335,0.013112060171995201,0.3265554894058148,0.34010081978167517,0.03357552642461517,0.03227085438166858,0.0023807938820821738
a7-ol1-kappa-0,0,attention_output_projection,z,2048,512,512,0.3361692428588867,389,0.010132188077688892,0.005394769120148829,0.14379478787002528,0.14926886451593313,0.07046017816146405,0.06786217727987152,0.002353329818667421
a7-ol1-kappa-0,1,qkv_projection,a,2048,512,1536,0.4918069839477539,290,0.010007712744745484,0.005313408699236594,0.2865938827905663,0.2922799382636796,0.03492274713585784,0.034240163058051054,0.0023843924129891034
a7-ol1-kappa-0,1,mlp_w1,m,2048,512,2048,0.49356651306152344,287,0.015869147262998075,0.006926813936819496,0.30864690489117086,0.31238478449632495,0.051237740351616046,0.05061650290447496,0.0023511140848608723
a7-ol1-kappa-0,1,mlp_w2,h,2048,2048,512,0.920208215713501,251,0.010622499228548158,0.012875983749629347,0.11261528563934801,0.12658960180943302,0.0942795409477023,0.08422695740187447,0.002331676550687411
a7-ol1-kappa-0,1,attention_output_projection,z,2048,512,512,0.769139289855957,239,0.010052585613066965,0.005219561007971728,0.09216192959613104,0.09728954537239123,0.10907261876971588,0.10327549049842688,0.0023631028328542857
a7-ol1-kappa-0,2,qkv_projection,a,2048,512,1536,0.4898824691772461,286,0.010083983973295643,0.005329032774577743,0.2871155805532273,0.29272108523036716,0.03512731850181796,0.0344148720919997,0.002321545786620959
a7-ol1-kappa-0,2,mlp_w1,m,2048,512,2048,0.49464893341064453,284,0.01609448028208694,0.006898507756125591,0.3069907742140809,0.31047289297685354,0.052252169146356046,0.05183860055469261,0.0023062223210788516
a7-ol1-kappa-0,2,mlp_w2,h,2048,2048,512,0.924696683883667,252,0.010883580149040159,0.012923374435832097,0.11723973246544485,0.12944553028966413,0.09311200045901324,0.0839804914305989,0.0023441192480237374
a7-ol1-kappa-0,2,attention_output_projection,z,2048,512,512,0.6890907287597656,231,0.010129901930863598,0.005165256957940561,0.07520100960150818,0.0806289505499438,0.13480026578148796,0.12614866878538655,0.002350415863824047
a7-ol1-kappa-0,3,qkv_projection,a,2048,512,1536,0.4997062683105469,280,0.010179199098448869,0.005303026734541894,0.2714051158600902,0.2769237317510886,0.03748259933018353,0.0367233641309409,0.00221199303491922
a7-ol1-kappa-0,3,mlp_w1,m,2048,512,2048,0.5035667419433594,279,0.016299446934831305,0.006934737789468578,0.30186420670075065,0.30798823452933655,0.05407682813908316,0.052622954339433266,0.0022938494804692735
a7-ol1-kappa-0,3,mlp_w2,h,2048,2048,512,0.9108450412750244,272,0.011020437876383463,0.012984673182169596,0.12092742125193277,0.13379576206207275,0.09119521165490341,0.08252622009000701,0.002327922587259466
a7-ol1-kappa-0,3,attention_output_projection,z,2048,512,512,0.6982212066650391,253,0.010153431062018966,0.005235327055502483,0.07860575715526043,0.0838161025953167,0.12917130522482412,0.12102111462956082,0.0023387529126815782
a7-ol1-kappa-0,4,qkv_projection,a,2048,512,1536,0.5011129379272461,282,0.010069841053718236,0.005317096774642532,0.26799278924154707,0.2736238721547607,0.037604332034800875,0.03679487263544046,0.0022751973937424606
a7-ol1-kappa-0,4,mlp_w1,m,2048,512,2048,0.5068292617797852,279,0.016105096884881067,0.006936685869309786,0.3000820843914475,0.30568842584274236,0.054050828036157995,0.052447571956922186,0.002303187154567147
a7-ol1-kappa-0,4,mlp_w2,h,2048,2048,512,0.8763492107391357,359,0.010921345848462908,0.013003021996488394,0.129548891923469,0.14150343554115638,0.08429923395435147,0.07726249063902825,0.002318924401814418
a7-ol1-kappa-0,4,attention_output_projection,z,2048,512,512,0.5944681167602539,274,0.010152092540570177,0.005278764345083076,0.08993117872371327,0.0952890839103467,0.11277074771186289,0.10640223201135345,0.0023353310602081674
a7-ol1-kappa-0,5,qkv_projection,a,2048,512,1536,0.49268341064453125,287,0.01020515146161745,0.00531681154965289,0.28839247955393854,0.29396213144996103,0.035376633797721095,0.0347064939834971,0.0022687176078046135
a7-ol1-kappa-0,5,mlp_w1,m,2048,512,2048,0.498748779296875,284,0.016202799754567666,0.006927490824519998,0.3045986024187615,0.3042846963501848,0.05339519268001044,0.05280270168607276,0.002250910329535319
a7-ol1-kappa-0,5,mlp_w2,h,2048,2048,512,0.7606320381164551,628,0.011050443399155297,0.013055058023654672,0.22399267762730388,0.23508657805185013,0.049401166165652564,0.04694026793955412,0.002232367262962159
a7-ol1-kappa-0,5,attention_output_projection,z,2048,512,512,0.6851167678833008,230,0.01008830976989814,0.005233515180303627,0.08027829548728141,0.08570330177100914,0.12566130623016522,0.11791147620511665,0.0022928003282548337
a7-ol1-kappa-0p5,0,qkv_projection,a,2048,512,1536,0.7234325408935547,213,0.010307183145810772,0.005186186822433045,0.26067962360115693,0.26568766246294845,0.03932180925390342,0.038748764165862384,0.002382159099283798
a7-ol1-kappa-0p5,0,mlp_w1,m,2048,512,2048,0.7551259994506836,200,0.014847661174256448,0.00601400549069614,0.16370965001343696,0.17039067206279995,0.09075160798616924,0.08757527426573833,0.0023325427639819822
a7-ol1-kappa-0p5,0,mlp_w2,h,2048,2048,512,0.9973695278167725,72,0.010827030846381137,0.011609601247363571,0.043446020939049805,0.0550638232227797,0.24960419159273917,0.19690927635138547,0.0023506548120486147
a7-ol1-kappa-0p5,0,attention_output_projection,z,2048,512,512,0.9934120178222656,27,0.01008952154685642,0.004846205340046875,0.02098175231611535,0.025868216577348873,0.4807828624150676,0.39003545206479995,0.002340648279096029
a7-ol1-kappa-0p5,1,qkv_projection,a,2048,512,1536,0.6800079345703125,202,0.010139363132390625,0.005254860830080211,0.18108095287142695,0.18651018032137479,0.055938981870494564,0.05436359085021277,0.002222373636071532
a7-ol1-kappa-0p5,1,mlp_w1,m,2048,512,2048,0.6977710723876953,191,0.015638195839359534,0.006669067108451421,0.19159355954309204,0.19756158692153855,0.08126037640327857,0.07850001685825375,0.0024218588224856254
a7-ol1-kappa-0p5,1,mlp_w2,h,2048,2048,512,0.9997820854187012,8,0.010957602287727863,0.011178123534512509,0.015537521997309837,0.026643427125312657,0.7041729692117863,0.4104732676371265,0.0021763494024025607
a7-ol1-kappa-0p5,1,attention_output_projection,z,2048,512,512,0.9986848831176758,11,0.010092336684465408,0.004766735434532166,0.016467370092868805,0.021144554018974304,0.6124459008959019,0.4775686458015471,0.00233098549614435
a7-ol1-kappa-0p5,2,qkv_projection,a,2048,512,1536,0.6789188385009766,207,0.010140580766357094,0.005248198222629642,0.17839921617346477,0.18296110323939313,0.0568407605549238,0.055417057064262656,0.002145804710150659
a7-ol1-kappa-0p5,2,mlp_w1,m,2048,512,2048,0.6950502395629883,198,0.015370353993083768,0.006569169793918634,0.1918638595666602,0.19964829656728514,0.08032035254545097,0.07698263649362053,0.002392137366071889
a7-ol1-kappa-0p5,2,mlp_w2,h,2048,2048,512,0.9996013641357422,9,0.010934002139408547,0.011118089244180847,0.01580540125066128,0.027240484796278424,0.6916787396180116,0.40203703745634917,0.002259056094605328
a7-ol1-kappa-0p5,2,attention_output_projection,z,2048,512,512,0.9998636245727539,8,0.010206381231546402,0.004744209349155426,0.01571151539683342,0.020432960987091065,0.6496850266347659,0.4978645331044258,0.0015707690815621284
a7-ol1-kappa-0p5,3,qkv_projection,a,2048,512,1536,0.6787300109863281,206,0.009984736776405993,0.005256621137497917,0.17620950024955126,0.18220566331394136,0.056658562521130273,0.054810585312330365,0.0021950293425599663
a7-ol1-kappa-0p5,3,mlp_w1,m,2048,512,2048,0.6904287338256836,195,0.015689952089906842,0.006605519018261612,0.19455228449755668,0.1992625515259626,0.08041474154080118,0.07820602419836031,0.0023584153915413926
a7-ol1-kappa-0p5,3,mlp_w2,h,2048,2048,512,0.9994463920593262,11,0.011075640785679387,0.011096402947481248,0.017130851045674536,0.0282609252758757,0.6471669168433711,0.39240268632529024,0.0022686837142459806
a7-ol1-kappa-0p5,3,attention_output_projection,z,2048,512,512,0.9973258972167969,14,0.010061517900480491,0.004846546541651506,0.017093744810379015,0.02189640496853956,0.5884181087050304,0.45951089911130993,0.002326651987581385
a7-ol1-kappa-0p5,4,qkv_projection,a,2048,512,1536,0.6606206893920898,212,0.0101308714647259,0.005257472449178775,0.18656011382217771,0.1922317772784023,0.054307038936991174,0.0526958890819214,0.002427529424472667
a7-ol1-kappa-0p5,4,mlp_w1,m,2048,512,2048,0.675572395324707,203,0.015518005031293348,0.006342204629645315,0.20324823829707725,0.20774376557316154,0.07662584541460156,0.07463902755096548,0.002303091337345145
a7-ol1-kappa-0p5,4,mlp_w2,h,2048,2048,512,0.9990715980529785,12,0.011002867470294369,0.011176126291113803,0.017978870494512734,0.02886478313232571,0.6107156490016963,0.38061308562956114,0.0022599300442702488
a7-ol1-kappa-0p5,4,attention_output_projection,z,2048,512,512,0.997711181640625,7,0.010034938901662826,0.004815739393234253,0.014502471685409546,0.01946042776107788,0.6919241456719402,0.5156587010761067,0.002199780299238639
a7-ol1-kappa-0p5,5,qkv_projection,a,2048,512,1536,0.6250400543212891,233,0.009992950268693873,0.00526971007521088,0.21242903092423002,0.21953297325888196,0.04708107693326349,0.04544876171517066,0.0021488738384490237
a7-ol1-kappa-0p5,5,mlp_w1,m,2048,512,2048,0.6362152099609375,223,0.015579061790355073,0.00671659830026861,0.2241109595290588,0.22969732733029102,0.06891503959886652,0.06798665219542298,0.0022395198240264032
a7-ol1-kappa-0p5,5,mlp_w2,h,2048,2048,512,0.9959402084350586,26,0.011083136932650629,0.011312927224107022,0.018998457693229148,0.030494721804984366,0.578778090350342,0.3635589346091617,0.0022588050111743484
a7-ol1-kappa-0p5,5,attention_output_projection,z,2048,512,512,0.9978723526000977,11,0.010044750571250916,0.004816347360610962,0.016373396664857865,0.021130330860614777,0.6136522837582852,0.47486828992967,0.002216297952790938
